address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.doRecommend,reviews.id,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.username,reviews.userProvince
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2015-10-11T00:00:00Z,2016-11-05T20:26:14Z,,,5,The room was clean and interior decor was very good condition. The staff was helpful and attentive. The included breakfast was a nice touch.,,,Tony,
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2015-09-29T00:00:00Z,2016-11-05T20:26:14Z,,,5,Hotel met all our needs.,Great location.,,Richard,
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2016-04-03T00:00:00Z,2016-11-05T20:26:14Z,,,2,"The room was pretty dated (very old vanity and furniture). It was clean just not what I've experienced historically (I stay exclusively at Hilton properties). The breakfast was average at best. Most Hampton Inns offer some sort of meat with breakfast, none here. The location was convenient for my trip.",Not what you would expect from a Hilton property.,Rocky Mount,Jay M,NC
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2015-12-28T00:00:00Z,2016-11-05T20:26:14Z,,,5,LOVED THE CONVENIENCE. WE ALWAYS SAY ... YOU NEVER CAN GO WRING WITH A HAMPTON INN!,GREAT PLACE NEAR NAVAL ACADEMY,Rocky Mount,David,NC
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2016-03-27T00:00:00Z,2016-11-05T20:26:14Z,,,3,"Concert in downtown Annapolis. Hotel was close however, the bes was to small for a couple and we were assigned a handicap accessible room unnecessarily.",It was ok,Rocky Mount,A Traveler,NC
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2016-04-16T00:00:00Z,2016-11-05T20:26:14Z,,,5,Great Hampton inn very inviting and clean. Short drive to harbor and restaurants and Naval Academy. Only thing I would have preferred is two queen beds rather than King and pull out couch as we had an adult child.,Annapolis Gem,Rocky Mount,mary,NC
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2016-04-01T00:00:00Z,2016-11-05T20:26:14Z,,,5,The staff was very helpful and pleasant. The breakfast buffet was good but crowded.,Two Night in Annapolis,Rocky Mount,A Traveler,NC
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2016-02-24T00:00:00Z,2016-11-05T20:26:14Z,,,5,It was nice and comfortable,Medical Trip To Annapolis.,Rocky Mount,Jack,NC
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2016-03-11T00:00:00Z,2016-11-05T20:26:14Z,,,5,It was real relaxed,Medical Trip To Annapolis.,Rocky Mount,Carlos,NC
124 Womack Dr,Hotels,Annapolis,US,38.97555,-76.54838,Hampton Inn and Suites Annapolis,21401,MD,2015-10-13T00:00:00Z,2016-11-05T20:26:14Z,,,4,"GOOD EXPERIENCE. THE SMOKE ALARM WRANG ALL NIGHT FOR TWO NIGHTS IN THE ROOM NEXT TO MINE THOUGH. BECAUSE I COULD HEAR IT THRU THE WALL I REPORTED IT, BUT IT TOOK THEM TWO DAYS TO FIX IT. THAT WAS VERY BAD !!!",GOOD QUIET LOCATION,Rocky Mount,A Traveler,NC
