address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.doRecommend,reviews.id,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.username,reviews.userProvince
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2016-02-19T00:00:00Z,2016-11-21T23:26:38Z,,,1,I stay at Hampton Inn's all the time and this was the dirtiest Hampton Inn I have ever seen. Carpets were dirty and needed a good vacuum and cleaning. The elevators appeared to have not been cleaned in a very long time including the metal doors. The fitness room had empty cups and dirty towels laying around. Water cooler was... More,"Hampton Inn, Virginia Beach Oceanfront North, far from the Hilton Brand standard.",Allentown,Karen P,PA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2016-07-30T00:00:00Z,2016-11-21T23:26:38Z,,,1,"This hotel is in a great location. The inside pool was small and people used it to wash the sand off themselves and boogie boards from the beach. Pool was not heated. Staff was polite and rooms were clean and comfortable but for the price we paid, the hotel itself was disappointing. Plastic chairs and tables to eat on outside when other local hotels he beautiful outdoor furniture. Restaurant was very good and prices comparable. Would not stay here again as other hotels cost the same and are much nicer!!!",Good location not worth the price,Alexandria,Jane D,VA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2015-10-01T00:00:00Z,2016-11-21T23:26:38Z,,,2,"The staff was very friendly and helpful. The breakfast was great. The over hotel cleanliness was lacking. Very dirty windows in the hallway, mirrors in the room were all dusty and spotted, our room wasn't vacuumed very well etc...",Okay stay,va,Stephen,VA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2015-10-15T00:00:00Z,2016-11-21T23:26:38Z,,,2,We were not happy with our stay at the Hampton Inn this trip. We were on the ground floor which is next to to Virginia Beaches Boardwalk instead of a higher floor. In addition it was were the room cleaning people set up in the mornings so carts voices were outside our door first thing in the morning. When we ask to have us moved to a higher floor they said we couldn't move because that is where YOUR organization put us. The hotel was not full when we were there.,"Better price, paid 1330.",Ruther Glen,A Traveler,VA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2016-06-26T00:00:00Z,2016-11-21T23:26:38Z,,,2,"The hotel room has a beautiful view of the ocean, and is very convenient to board-walk and eateries. However, we were not impressed with the condition of the hotel in general. It's a bit outdated and could use some remodeling work. Room was fairly clean whe we arrived other than forgetting to pick up the cup of cig buts left on the balcony. Room service was also less to be desired. The made the bed and provided towels.....no sweeping or collecting garbage. We would not stay here when we return. I'd rather pay a little more for a Marriot or Sheraton .",Not what we expected for the price,Loudon,A Traveler,VA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2015-11-18T00:00:00Z,2016-11-21T23:26:38Z,,,2,"I Stayed two nights on business. Was pleased with the facility, my room, and the wonderful view, until it was time to go to bed. I pulled down the sheets, and found the bedding to be soiled with makeup, crumbs, and hair. Clean and fresh bedding are a basic expectation, and this hotel failed to deliver upon that. I called... More","Housekeeping issues, no response from hotel management",Loudon,Jyoungblood,VA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2016-07-04T00:00:00Z,2016-11-21T23:26:38Z,,,2,The room was ready early which was exciting. However I noticed the patio window had not been cleaned. The towels appeared laundered but strands of hair was found in at least one of them. I decided not to use any. The room had a couple fruit flies. The desk attendant allowed a guest to bring pet (chihuahua) which was not a service dog.,Not what expected from the reviews.,Allentown,A Traveler,PA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2016-10-18T00:00:00Z,2016-11-21T23:26:38Z,,,2,"Outdated and dirty. We were scheduled to stay for 3 nights but the room was old, extremely rundown, and not clean. Bathroom vents were rusted over and there was mildew in multiple spots throughout the bathroom and room. We didn't stay. Immediately left. Hotel staff was friendly and professional. Worst rooms I've seen at a Hampton Inn.","Old, dirty, and outdated rooms.",Triangle,A Traveler,VA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2016-10-09T00:00:00Z,2016-11-21T23:26:38Z,,,2,"It was Windy cold. Very noise, Those MURDERIUS military jets flying over from 7 in the morning to 10 in the evening every half hour. It is disgrace to fly over tourist populated CITY. Advise: DO NOT GO TO VIRINIA BEACH, It is like WAR ZONE.","Nice Beach, But nouzy 10 decibal.",Canterbury,A Traveler,VA
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2015-11-01T00:00:00Z,2016-11-21T23:26:38Z,,,2,People in room adjacent to mine were out on pation all night talking loudly / partying- dispite repeated calls to front desk nothing was done to silence - I was unable to get any rest and had early morning meetings.,Noise all night,Reston,Ray T,NC
3107 Atlantic Ave,"Hotel,Hotels",Virginia Beach,US,36.859787,-75.978035,Hampton Inn Virginia Beach Oceanfront North,23451-2934,VA,2015-10-22T00:00:00Z,2016-11-21T23:26:38Z,,,3,Room was clean it served its purpose. I expected better for the price in comfort. The bed wasn't very comfy and needed 10 pillows to feel comfy.,Served its purpose,va,Katrina,VA
